mag_ran;;ran_prob;F rand;mag_real;real_prob;F real;;mag_clast;clust_prob;F clust;;1-Fclust;;;mag_clast;;;
1.6;0.01381;1.38E-04;1.34E-01;1.6;0.01715;0.230337321;;1.6;0.0170119;0.231311369;1.72E-02;0.768688631;;;1.6;0.027726667;0.389452632;0.610547368
1.5;0.01308;1.31E-04;1.21E-01;1.5;0.01433;0.216007321;;1.5;0.0141992;0.216968743;1.43E-02;0.783031257;;;1.5;0.018288333;0.371164299;0.628835702
1.4;0.01182;1.18E-04;1.09E-01;1.4;0.01266;0.203347321;;1.4;0.0125418;0.204300258;1.27E-02;0.795699742;;;1.4;0.01532;0.355844299;0.644155702
1.3;0.00973;9.73E-05;9.93E-02;1.3;0.01077;0.192577321;;1.3;0.0106727;0.193519753;1.08E-02;0.806480247;;;1.3;0.014063333;0.341780965;0.658219035
1.2;0.01109;1.11E-04;8.82E-02;1.2;0.01025;0.182327321;;1.2;0.0101391;0.183278238;1.02E-02;0.816721762;;;1.2;0.00759;0.334190965;0.665809035
1.1;0.00931;9.31E-05;7.89E-02;1.1;0.00805;0.174277321;;1.1;0.0079569;0.175240965;8.04E-03;0.824759035;;;1.1;0.00406;0.330130965;0.669869035
1;0.00743;7.43E-05;7.14E-02;1;0.00638;0.167897321;;1;0.0063057;0.168871571;6.37E-03;0.831128429;;;1;0.003055;0.327075965;0.672924035
0.9;0.01004;1.00E-04;6.14E-02;0.9;0.00743;0.160467321;;0.9;0.0073296;0.161467935;7.40E-03;0.838532065;;;;;0.327075965;0.672924035
0.8;0.00805;8.05E-05;5.34E-02;0.8;0.00701;0.153457321;;0.8;0.0069295;0.15446844;7.00E-03;0.84553156;;;0.8;0.003716667;0.323359299;0.676640702
0.7;0.00544;5.44E-05;4.79E-02;0.7;0.00586;0.147597321;;0.7;0.0058056;0.148604198;5.86E-03;0.851395802;;;0.7;0.00719;0.316169299;0.683830702
0.6;0.0068;6.80E-05;4.11E-02;0.6;0.00335;0.144247321;;0.6;0.003282;0.145289046;3.32E-03;0.854710954;;;;;0.316169299;0.683830702
0.5;0.00481;4.81E-05;3.63E-02;0.5;0.00356;0.140687321;;0.5;0.0035119;0.141741672;3.55E-03;0.858258328;;;;;0.316169299;0.683830702
0.4;0.00565;5.65E-05;3.07E-02;0.4;0.0045;0.136187321;;0.4;0.0044435;0.137253289;4.49E-03;0.862746711;;;0.4;0.000858333;0.315310965;0.684689035
0.3;0.00335;3.35E-05;2.73E-02;0.3;0.00209;0.134097321;;0.3;0.0020565;0.135176016;2.08E-03;0.864823984;;;;;0.315310965;0.684689035
