,Closest_neigh
4.6,0.04067695961995249
4.2,0.04067695961995249
4.4,0.04008313539192399
4.8,0.03948931116389549
4.5,0.03948931116389549
4.3,0.03889548693586698
4.7,0.03711401425178147
4.1,0.03622327790973872
3.6,0.035629453681710214
3.9,0.035629453681710214
4.0,0.034738717339667456
3.7,0.032957244655581946
4.9,0.03236342042755344
3.5,0.03236342042755344
3.8,0.03176959619952494
5.0,0.031175771971496437
3.4,0.030581947743467935
5.1,0.030285035629453682
3.3,0.029394299287410927
5.2,0.02672209026128266
3.2,0.02553444180522565
5.3,0.02553444180522565
5.4,0.02345605700712589
3.0,0.020783847980997625
2.9,0.020486935866983372
5.6,0.019596199524940617
3.1,0.019596199524940617
5.5,0.018705463182897862
5.7,0.015736342042755345
2.8,0.015142517814726841
2.7,0.010095011876484561
5.9,0.008907363420427554
2.6,0.0086104513064133
5.8,0.0086104513064133
2.5,0.007422802850356294
2.4,0.007422802850356294
6.0,0.007125890736342043
6.1,0.0059382422802850355
2.3,0.005047505938242281
2.2,0.004750593824228029
2.1,0.004750593824228029
1.8,0.0032660332541567696
6.2,0.0029691211401425177
1.9,0.002672209026128266
1.7,0.0017814726840855108
1.4,0.0014845605700712589
2.0,0.0014845605700712589
6.4,0.0011876484560570072
6.3,0.0011876484560570072
6.5,0.0011876484560570072
1.6,0.0005938242280285036
1.5,0.0005938242280285036
6.6,0.0002969121140142518
0.1,0.0002969121140142518
0.7,0.0002969121140142518
0.8,0.0002969121140142518
1.3,0.0002969121140142518
7.2,0.0002969121140142518
inf,0.0002969121140142518
