,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,latitude,longitude,depth,EH1,EH2,AZ,EV,mag,ID
58,1984,10,23,11,56,21.82,38.7948,-122.7502,1.89,0.007,0.006,172,0.01,1.6,30549
59,1984,10,28,22,1,35.466,38.784,-122.7568,1.439,0.009,0.007,175,0.009,2.0,30860
60,1984,10,29,6,51,17.49,38.79119,-122.77578,4.071,0.013,0.012,99,0.026,1.8,30894
61,1984,10,31,8,43,39.01,38.79384,-122.75081,1.494,0.013,0.012,27,0.02,1.6,1121667
62,1984,11,3,17,33,3.18,38.79297,-122.77596,1.226,0.015,0.012,54,0.022,2.7,31212
63,1984,11,4,1,51,52.7,38.78331,-122.76976,1.056,0.009,0.008,123,0.009,1.7,31226
64,1984,11,9,5,55,57.443,38.80286,-122.77244,1.867,0.009,0.008,56,0.009,1.9,31521
65,1984,11,16,10,49,27.695,38.78608,-122.77429,1.082,0.027,0.015,2,0.03,1.7,1122099
66,1984,11,16,20,26,31.6,38.79478,-122.75047,1.684,0.008,0.005,51,0.008,1.6,32031
67,1984,11,19,1,23,54.551,38.80317,-122.77188,1.948,0.012,0.008,2,0.012,1.9,32121
68,1984,11,19,9,28,35.123,38.78674,-122.77439,1.748,0.017,0.011,69,0.016,2.4,1122200
69,1984,11,21,14,38,2.64,38.78455,-122.75834,1.088,0.02,0.018,97,0.022,1.8,1122280
70,1984,11,22,6,51,9.72,38.78202,-122.76963,1.107,0.009,0.007,110,0.01,2.1,32288
71,1984,11,22,6,53,59.27,38.78118,-122.76911,1.095,0.008,0.006,99,0.009,1.7,32289
72,1984,11,22,13,15,50.552,38.77555,-122.76506,1.831,0.01,0.006,125,0.011,1.6,32328
73,1984,11,23,15,35,27.081,38.80235,-122.77281,1.958,0.009,0.008,26,0.011,1.8,32360
74,1984,11,24,5,12,23.49,38.78809,-122.7739,1.985,0.019,0.011,73,0.024,2.0,1122404
75,1984,11,24,9,48,42.69,38.79566,-122.74926,0.609,0.016,0.012,13,0.031,1.6,1122420
76,1984,11,26,20,3,48.095,38.78867,-122.77319,1.805,0.007,0.006,163,0.008,1.6,40155
77,1984,12,1,13,24,29.885,38.77943,-122.76737,1.327,0.011,0.009,170,0.016,1.9,32952
78,1984,12,1,23,37,31.11,38.78988,-122.77454,1.913,0.009,0.007,37,0.01,1.9,35952
79,1984,12,4,12,37,44.12,38.79066,-122.77612,0.418,0.018,0.014,87,0.03,1.7,1123311
80,1984,12,5,7,11,51.596,38.7957,-122.74893,1.803,0.006,0.005,61,0.008,1.7,33342
81,1984,12,5,17,47,23.04,38.78401,-122.76962,0.755,0.01,0.008,73,0.011,2.7,33555
82,1984,12,7,8,29,41.563,38.78111,-122.76959,1.913,0.01,0.007,105,0.015,1.7,33695
83,1984,12,8,11,52,20.76,38.79082,-122.77751,2.158,0.011,0.008,21,0.009,1.9,33633
84,1984,12,12,11,36,21.38,38.78958,-122.77454,1.948,0.009,0.008,98,0.009,1.6,33973
85,1984,12,14,17,5,51.011,38.80356,-122.77118,1.923,0.01,0.007,32,0.01,1.7,34177
86,1984,12,15,13,49,7.85,38.79476,-122.75021,1.955,0.006,0.005,83,0.008,2.1,34246
87,1984,12,16,11,6,48.74,38.79462,-122.75033,1.641,0.007,0.005,44,0.007,1.9,34404
88,1984,12,17,4,42,51.26,38.78875,-122.77278,1.784,0.007,0.006,45,0.009,2.0,34550
89,1984,12,18,23,42,52.419,38.80011,-122.7698,0.611,0.017,0.011,163,0.03,2.2,34709
90,1984,12,19,2,40,1.81,38.78984,-122.7757,2.059,0.011,0.008,38,0.01,3.0,39437
91,1984,12,22,15,33,41.8,38.79237,-122.77356,0.592,0.014,0.012,124,0.018,3.4,35131
92,1984,12,22,15,34,8.05,38.78467,-122.77194,0.811,0.015,0.009,85,0.016,3.0,35300
