,Closest_neigh
3.0,0.05688860638805021
3.2,0.054981725726998255
2.9,0.05180359129191165
3.1,0.05164468457015732
3.3,0.05100905768314
2.8,0.05069124423963134
3.4,0.048307643413316385
2.7,0.04497060225647545
3.5,0.0441760686477038
2.6,0.041474654377880185
2.4,0.0389321468298109
2.5,0.03591291911647863
3.6,0.03591291911647863
2.3,0.03178134435086604
3.7,0.029556650246305417
2.2,0.028285396472270775
3.8,0.024153821706658193
2.0,0.02240584776736056
2.1,0.02161131415858891
1.9,0.017797552836484983
3.9,0.01668520578420467
4.0,0.014301604957889718
1.7,0.013824884792626729
1.8,0.012553631018592087
4.1,0.010805657079294454
1.6,0.010646750357540124
1.5,0.00810424280947084
1.4,0.006674082313681869
1.3,0.006038455426664548
1.1,0.005243921817892897
4.2,0.005243921817892897
1.2,0.005085015096138567
-0.6,0.004449388209121246
0.9,0.003972668043858255
0.7,0.003813761322103925
-0.1,0.0034959478785952644
-1.3,0.0034959478785952644
1.0,0.0034959478785952644
-1.0,0.0034959478785952644
4.3,0.0034959478785952644
-1.5,0.0033370411568409346
-1.2,0.0031781344350866043
-0.8,0.003019227713332274
-0.4,0.002860320991577944
-0.7,0.002860320991577944
0.6,0.002860320991577944
-1.1,0.002860320991577944
-1.4,0.0027014142698236136
-0.3,0.0027014142698236136
-0.9,0.0025425075480692834
0.3,0.0025425075480692834
-1.9,0.002383600826314953
-1.7,0.002383600826314953
-1.8,0.002383600826314953
0.4,0.002224694104560623
0.1,0.002224694104560623
-0.5,0.0019068806610519624
0.0,0.0019068806610519624
-1.6,0.0019068806610519624
4.4,0.0019068806610519624
-2.0,0.0017479739392976322
0.2,0.0015890672175433022
-0.2,0.0015890672175433022
0.8,0.0015890672175433022
-2.1,0.001430160495788972
-2.4,0.001430160495788972
4.5,0.0012712537740346417
-2.2,0.0011123470522803114
-2.9,0.0011123470522803114
-3.0,0.0011123470522803114
-2.6,0.0009534403305259812
0.5,0.0007945336087716511
4.7,0.0007945336087716511
-2.3,0.0004767201652629906
-2.8,0.0004767201652629906
-2.5,0.0004767201652629906
-3.2,0.0004767201652629906
-3.6,0.0004767201652629906
4.6,0.0004767201652629906
4.8,0.0004767201652629906
5.2,0.0003178134435086604
-3.1,0.0003178134435086604
-3.9,0.0003178134435086604
-2.7,0.0003178134435086604
-3.3,0.0001589067217543302
5.7,0.0001589067217543302
inf,0.0001589067217543302
5.4,0.0001589067217543302
5.3,0.0001589067217543302
5.0,0.0001589067217543302
